iter	Logloss
0	0.6917746476
1	0.690402168
2	0.6895703063
3	0.6881308851
4	0.6870364907
5	0.6860336636
6	0.6848609358
7	0.6839546667
8	0.6828611267
9	0.6823080784
10	0.6820821943
11	0.6818784013
12	0.6811962657
13	0.6804911992
14	0.6792904756
15	0.6787952123
16	0.6779303623
17	0.6772297753
18	0.6763270307
19	0.6759618652
20	0.6757614805
21	0.6749653752
22	0.6744117433
23	0.6740439279
24	0.6733984485
25	0.6732973154
26	0.6726533877
27	0.6719754797
28	0.6713434944
29	0.6711079189
30	0.6706794608
31	0.6699857245
32	0.6694084946
33	0.6691490986
34	0.6684614024
35	0.6679458779
36	0.667523912
37	0.6673263316
38	0.6669214385
39	0.6664915617
40	0.66625189
41	0.6660309351
42	0.6657174948
43	0.6654836393
44	0.6651932608
45	0.6649352511
46	0.6648146977
47	0.6644964474
48	0.6642251134
49	0.6639700407
50	0.6637025648
51	0.6636597555
52	0.6634195404
53	0.6633597053
54	0.6631931517
55	0.662782072
56	0.6623798127
57	0.6618668955
